class	name
49	76-15362-150.3654334435822-2.387706359651695_sci.txt
14	40-85627-150.3513059442204-1.9361364963895125_sci.txt
14	80-41844-149.64474195552998-2.3392015803910935_sci.txt
14	31-97761-149.77688678739554-1.7891394002059962_sci.txt
14	99-91688-150.40847091846342-2.705669401927942_sci.txt
14	54-59420-149.94266253986905-2.0254011592620405_sci.txt
14	55-20352-149.81695496403051-1.977540872140562_sci.txt
14	40-42632-150.3253771060712-1.8221527889868858_sci.txt
14	43-73151-149.79261248974595-1.840522006298977_sci.txt
14	87-67482-150.410806221109-2.5074748652005425_sci.txt
14	28-86882-150.31435075166573-1.6980284246622737_sci.txt
14	63-90469-150.54813005144072-2.2844355254877704_sci.txt
14	51-89145-150.41900520347193-2.019076932536424_sci.txt
14	103-97459-149.84583390926545-2.7733637734965564_sci.txt
14	105-14055-149.47643640101734-2.6388161714204155_sci.txt
14	14-75940-150.59637504004309-1.6144759815574539_sci.txt
14	66-64066-150.05066569735465-2.2527812702217695_sci.txt
6	65-45460-150.0750339270515-2.169840200537596_sci.txt
6	74-10892-150.68503378368067-2.3018622845280787_sci.txt
6	27-50788-150.4019707390842-1.6749159170231134_sci.txt
6	38-12998-150.69112612066968-1.8934324081459346_sci.txt
6	67-26077-149.74124270808366-2.2212465305192315_sci.txt
6	55-61589-149.82129016632143-2.0391130181171904_sci.txt
6	101-20507-150.13747009709292-2.7227724016648103_sci.txt
6	90-82178-149.9355949474768-2.5183872141916943_sci.txt
6	31-70779-149.78893331739178-1.760069349325167_sci.txt
6	74-45090-150.66132310159315-2.408971918582004_sci.txt
6	51-71042-150.41467772966797-2.0074635273895405_sci.txt
6	103-85581-149.8846977862263-2.6961007520065206_sci.txt
6	53-76531-150.18574215839496-2.0202939171377783_sci.txt
6	55-68778-149.76634763922564-2.097461866485826_sci.txt
6	42-36943-150.05128406330576-1.8189310847254343_sci.txt
6	64-95002-150.33629094899425-2.1955279825805643_sci.txt
6	64-24140-150.36515275316864-2.2270321357858673_sci.txt
6	75-84812-150.45560948652323-2.4529429564774388_sci.txt
6	33-19221-149.55764667988893-1.6420651906180237_sci.txt
6	93-46549-149.48887498333033-2.4980284950654372_sci.txt
6	77-93371-150.2137798828843-2.3655540967286637_sci.txt
6	39-82010-150.435012260668-1.8530688695265196_sci.txt
6	25-65502-150.7452399814682-1.7618917554759155_sci.txt
6	42-57236-149.9617231579118-1.9205645656191876_sci.txt
6	63-85028-150.50017289051706-2.1837355684907096_sci.txt
6	27-45726-150.52079598235102-1.7425445302459375_sci.txt
37	92-52144-149.62824871435137-2.593484309526999_sci.txt
